scenario,n_demand,n_candidate,radius_m,k,algorithm,coverage_count,coverage_rate,avg_nearest_distance_m,max_nearest_distance_m,eval_count,runtime_seconds
bus_stop_only,769,28,150,5,Greedy,222,0.2886866059817945,256.9660961309418,1042.5414238442625,131,0.0006133999995654449
bus_stop_only,769,28,150,5,Lazy Greedy,222,0.2886866059817945,256.9660961309418,1042.5414238442625,38,0.00012000000060652383
bus_stop_only,769,28,150,10,Greedy,308,0.40052015604681407,203.92130086074772,851.6953565566074,236,0.0015574999997625127
bus_stop_only,769,28,150,10,Lazy Greedy,308,0.40052015604681407,203.92130086074772,851.6953565566074,50,0.0003233999996155035
bus_stop_only,769,28,150,15,Greedy,357,0.46423927178153446,161.6936439912644,410.8801365076501,316,0.0029104999994160607
bus_stop_only,769,28,150,15,Lazy Greedy,357,0.46423927178153446,161.6936439912644,410.8801365076501,57,0.000353900000845897
bus_stop_only,769,28,150,20,Greedy,390,0.5071521456436932,147.86271126497513,332.66501601046485,371,0.003921800000171061
bus_stop_only,769,28,150,20,Lazy Greedy,390,0.5071521456436932,147.86271126497513,332.66501601046485,65,0.0005221000010351418
road_nodes,769,400,150,5,Greedy,328,0.4265279583875163,241.95201481846718,1050.860964837202,1991,0.011857299999974202
road_nodes,769,400,150,5,Lazy Greedy,328,0.4265279583875163,241.95201481846718,1050.860964837202,434,0.0010290999998687766
road_nodes,769,400,150,10,Greedy,503,0.6540962288686606,171.18703498936662,1050.860964837202,3956,0.04540590000033262
road_nodes,769,400,150,10,Lazy Greedy,503,0.6540962288686606,171.18703498936662,1050.860964837202,521,0.002504499998394749
road_nodes,769,400,150,15,Greedy,592,0.7698309492847855,123.35107152724139,644.28325617265,5896,0.08950390000063635
road_nodes,769,400,150,15,Lazy Greedy,592,0.7698309492847855,123.35107152724139,644.28325617265,613,0.004246300000886549
road_nodes,769,400,150,20,Greedy,659,0.8569570871261378,104.5025582033974,351.7283187700299,7811,0.15148779999981343
road_nodes,769,400,150,20,Lazy Greedy,659,0.8569570871261378,104.5025582033974,351.7283187700299,663,0.00599309999961406
