problem,k,algorithm,objective_value,coverage_rate,avg_nearest_distance_m,max_nearest_distance_m,eval_count,runtime_seconds
Facility Location,5,Greedy,559.0254650600737,,231.4064033209524,587.4484587050787,131,0.0033333000010316027
Facility Location,5,Lazy Greedy,559.0254650600737,,231.4064033209524,587.4484587050787,71,0.001737900000080117
Facility Location,5,Stochastic Greedy,553.005507783073,,236.21947117665457,587.4484587050787,66,0.0013819999985571485
Facility Location,10,Greedy,637.4298719310818,,172.48012063968562,430.1776186107655,236,0.0063497999999526655
Facility Location,10,Lazy Greedy,637.4298719310818,,172.48012063968562,430.1776186107655,97,0.0021149000003788387
Facility Location,10,Stochastic Greedy,616.5273161860669,,187.75780202060645,527.1624823885636,71,0.0017569999999977881
Facility Location,15,Greedy,658.2574718991564,,155.43938806990857,332.66501601046485,316,0.011524399998961599
Facility Location,15,Lazy Greedy,658.2574718991564,,155.43938806990857,332.66501601046485,111,0.002706400000533904
Facility Location,15,Stochastic Greedy,656.2393148765414,,156.45116614477473,392.0775082061658,76,0.002148999999917578
Facility Location,20,Greedy,667.18325454246,,147.26929689738958,332.66501601046485,371,0.013237200000730809
Facility Location,20,Lazy Greedy,667.18325454246,,147.26929689738958,332.66501601046485,123,0.0038848000003781635
Facility Location,20,Stochastic Greedy,667.018439166186,,147.2589952995291,332.66501601046485,81,0.0029151999988243915
Maximum Coverage,5,Greedy,598.0,0.7776332899869961,239.9936805380245,933.2428660337301,131,0.001618399999642861
Maximum Coverage,5,Lazy Greedy,598.0,0.7776332899869961,239.9936805380245,933.2428660337301,51,0.00038719999975000974
Maximum Coverage,5,Stochastic Greedy,574.0,0.7464239271781534,236.21947117665457,587.4484587050787,66,0.0012339000004431
Maximum Coverage,10,Greedy,735.0,0.9557867360208062,174.0731334563016,402.3484674839537,236,0.0046232999993662816
Maximum Coverage,10,Lazy Greedy,735.0,0.9557867360208062,174.0731334563016,402.3484674839537,74,0.0010454000002937391
Maximum Coverage,10,Stochastic Greedy,700.0,0.9102730819245773,190.38461930068442,405.4265046215488,71,0.0013030000009166542
Maximum Coverage,15,Greedy,760.0,0.988296488946684,159.58189155762665,332.66501601046485,316,0.007797000000209664
Maximum Coverage,15,Lazy Greedy,760.0,0.988296488946684,160.3298102998745,332.66501601046485,90,0.0017053999999916414
Maximum Coverage,15,Stochastic Greedy,759.0,0.9869960988296489,161.93271143646334,332.66501601046485,76,0.001772999999957392
Maximum Coverage,20,Greedy,761.0,0.9895968790637191,151.51533691087593,332.66501601046485,371,0.01055620000079216
Maximum Coverage,20,Lazy Greedy,761.0,0.9895968790637191,152.72994658431216,332.66501601046485,96,0.0018216999997093808
Maximum Coverage,20,Stochastic Greedy,761.0,0.9895968790637191,150.6492046065309,332.66501601046485,81,0.0021701999994547805
