radius_m,k,algorithm,coverage_count,coverage_rate,avg_nearest_distance_m,max_nearest_distance_m,eval_count,runtime_seconds
100,5,Greedy,187,0.24317295188556567,229.29161636321874,1042.5414238442625,1991,0.010534899998674518
100,5,Lazy Greedy,187,0.24317295188556567,229.29161636321874,1042.5414238442625,428,0.002371500000663218
100,5,Stochastic Greedy,186,0.24187256176853056,269.82742730938236,1042.5414238442625,926,0.006062700000256882
100,5,Random Baseline,110,0.14304291287386217,380.2043437664043,1017.7248563603845,1000,0.017421200000171666
100,10,Greedy,307,0.3992197659297789,176.64274422916216,1042.5414238442625,3956,0.04298900000139838
100,10,Lazy Greedy,307,0.3992197659297789,176.64274422916216,1042.5414238442625,445,0.001586200000019744
100,10,Stochastic Greedy,305,0.3966189856957087,174.88338292042337,1042.5414238442625,931,0.010178499998801271
100,10,Random Baseline,197,0.25617685305591675,169.59059565614672,424.03315653433344,1000,0.02103050000005169
100,15,Greedy,411,0.5344603381014305,148.42178178052004,1021.2663350004261,5896,0.0905332999991515
100,15,Lazy Greedy,411,0.5344603381014305,148.42178178052004,1021.2663350004261,466,0.0016875999990588753
100,15,Stochastic Greedy,397,0.5162548764629389,146.78978293554647,1021.2663350004261,931,0.014094500000283006
100,15,Random Baseline,222,0.2886866059817945,183.18298584808073,724.6647541449997,1000,0.03243830000064918
100,20,Greedy,487,0.6332899869960988,135.6487068924704,1021.2663350004261,7811,0.15235440000105882
100,20,Lazy Greedy,487,0.6332899869960988,135.6487068924704,1021.2663350004261,523,0.0033170999995491
100,20,Stochastic Greedy,461,0.599479843953186,133.71420811033363,960.4793546953221,941,0.015800699999090284
100,20,Random Baseline,271,0.35240572171651496,141.66580062702337,364.6969322200509,1000,0.03489860000081535
100,30,Greedy,587,0.7633289986996099,94.31458336258821,531.2670484927181,11566,0.28294690000075207
100,30,Lazy Greedy,587,0.7633289986996099,94.31458336258821,531.2670484927181,584,0.005018400001063128
100,30,Stochastic Greedy,548,0.7126137841352406,92.44560593253158,495.18729321629945,931,0.020174400000541937
100,30,Random Baseline,356,0.46293888166449937,114.51684442550957,308.4759029197349,1000,0.04097639999963576
150,5,Greedy,328,0.4265279583875163,241.95201481846718,1050.860964837202,1991,0.013195000001360313
150,5,Lazy Greedy,328,0.4265279583875163,241.95201481846718,1050.860964837202,434,0.0012504999995144317
150,5,Stochastic Greedy,321,0.4174252275682705,246.23965028459696,1042.5414238442625,926,0.006887100000312785
150,5,Random Baseline,217,0.28218465539661897,303.36571854987477,1005.9344011010844,1000,0.01108349999958591
150,10,Greedy,503,0.6540962288686606,171.18703498936662,1050.860964837202,3956,0.04981030000089959
150,10,Lazy Greedy,503,0.6540962288686606,171.18703498936662,1050.860964837202,521,0.0026455000006535556
150,10,Stochastic Greedy,475,0.6176853055916776,167.648523879103,1005.9344011010844,931,0.009712999999464955
150,10,Random Baseline,351,0.4564369310793238,169.59059565614672,424.03315653433344,1000,0.02255899999909161
150,15,Greedy,592,0.7698309492847855,123.35107152724139,644.28325617265,5896,0.09868520000054559
150,15,Lazy Greedy,592,0.7698309492847855,123.35107152724139,644.28325617265,613,0.004637400001229253
150,15,Stochastic Greedy,588,0.764629388816645,150.07658763962235,975.1992473539552,931,0.013264499999422696
150,15,Random Baseline,409,0.5318595578673602,160.0906543038198,584.6783681143055,1000,0.02782610000031127
150,20,Greedy,659,0.8569570871261378,104.5025582033974,351.7283187700299,7811,0.16727809999974852
150,20,Lazy Greedy,659,0.8569570871261378,104.5025582033974,351.7283187700299,663,0.008242699999755132
150,20,Stochastic Greedy,661,0.8595578673602081,106.27523770730028,398.7173706102755,941,0.020495800001299358
150,20,Random Baseline,462,0.6007802340702211,140.68052313615325,428.7083716868621,1000,0.05185700000038196
150,30,Greedy,742,0.9648894668400521,89.2925068846459,241.32554526872627,11566,0.3274579000008089
150,30,Lazy Greedy,742,0.9648894668400521,89.2925068846459,241.32554526872627,943,0.016382900001190137
